year,fun fact 
1909,the first Lincoln penny was minted in the United States.
1887,"the construction of the first subway system in the United States, which opened in Boston, Massachusetts."
1920,"the 19th Amendment to the United States, granting women the right to vote, was passed."
1865,the Civil War in the United States ended.
1889,the building of the Eiffel Tower was completed.
1829,"the world's first modern police force, the London Metropolitan Police, was established."
1777,"the flag of the United States, was adopted on June 14, 1777."
1866,the Civil Rights Act of 1866 was passed by the United States Congress.
1939,"the film, the Wizard of Oz, was released."
1855,the American Association for the Advancement of Science (AAAS) was founded.
1899,"the National Basketball League (NBL), was established in the United States."
1799,"Napoleon Bonaparte seized power in France, marking the beginning of the Napoleonic era."
1888,"the first film projection took place in Leeds, England."
1923,the Walt Disney company was founded. 
1785,"the first successful ascent of Mont Blanc, the highest mountain in the Alps, was made."
1903,the Wright brothers successfully flew their first plane.
1864,Abraham Lincoln was re-elected for his second term in office.
1944,"the D-Day landings occurred on June 6, 1944, in Normandy, France."
1808,"Ludwig van Beethoven's Symphony No. 5 premiered in Vienna, Austria."
1792,the New York Stock Exchange was founded.
1834,"the city of Melbourne, Australia was founded."
1932,Amelia Earhart became the first woman to fly solo across the Atlantic ocean. 